name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes,main_category
Apple IPhone X - 4G LTE - 5.8 Pouces - 3Go Ram - 64Go Rom - 12 Mpx - Blanc - Reconditionné,169 900 FCFA,https://www.jumia.sn/apple-iphone-x-4g-lte-5.8-pouces-3go-ram-64go-rom-12-mpx-blanc-reconditionne-9842231.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/22489/1.jpg?8232,True,229 000 FCFA,26%,4.8 out of 5,(4),Téléphones & Tablettes
"Infinix Smart HD 2021 - 3G - 6,1"" HD - Rom 32Go - Ram 2Go - Caméra 8MP Camera front 8MP - 5000mAh - Noir",45 900 FCFA,https://www.jumia.sn/infinix-smart-hd-2021-3g-61-hd-rom-32go-ram-2go-camera-8mp-camera-front-8mp-5000mah-noir-6482125.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/12846/1.jpg?3376,True,100 000 FCFA,54%,4 out of 5,(59),Téléphones & Tablettes
Generic Oreillettes sans fil p47 pour casque Bluetooth,3 500 FCFA,https://www.jumia.sn/oreillettes-sans-fil-p47-pour-casque-bluetooth-generic-mpg34696.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/96016/1.jpg?2046,False,15 000 FCFA,77%,3.9 out of 5,(23),Téléphones & Tablettes
Tecno Spark 8C – Écran 6.6″ – ROM 64GB – RAM 2GB – Caméra 13/8MP – Noir,63 750 FCFA,https://www.jumia.sn/spark-8c-ecran-6.6-rom-64gb-ram-2gb-camera-138mp-noir-tecno-mpg46405.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/76299/1.jpg?6263,True,100 000 FCFA,36%,4.1 out of 5,(9),Téléphones & Tablettes
TWS Ecouteurs Pro 5 - Sans clignotant - Qualité Garantie - Blanc,5 900 FCFA,https://www.jumia.sn/ecouteurs-pro-5-sans-clignotant-qualite-garantie-blanc-tws-mpg38017.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/07306/1.jpg?1096,False,50 000 FCFA,88%,3.5 out of 5,(199),Téléphones & Tablettes
Generic P40 Generic Étui - Silicone - Rouge-Protection de coque,6 600 FCFA,https://www.jumia.sn/generic-p40-generic-etui-silicone-rouge-protection-de-coque-9251674.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/61529/1.jpg?3600,True,12 941 FCFA,49%,3.3 out of 5,(7),Téléphones & Tablettes
TWS Ecouteurs Pro 5 - Android / Ios + Etui Offert couleur Aléatoire,5 900 FCFA,https://www.jumia.sn/ecouteurs-pro-5-android-ios-etui-offert-couleur-aleatoire-tws-mpg38013.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/14706/1.jpg?0365,False,30 000 FCFA,80%,3.7 out of 5,(50),Téléphones & Tablettes
TWS Ecouteurs bluetooth -blanc,7 900 FCFA,https://www.jumia.sn/ecouteurs-pro5s-tws-mpg38022.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/82388/1.jpg?0174,False,30 000 FCFA,74%,4 out of 5,(18),Téléphones & Tablettes
Css Sucre en Morceaux - 1KG,590 FCFA,https://www.jumia.sn/css-sucre-en-morceaux-1kg-10030324.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/303001/1.jpg?7481,True,690 FCFA,14%,5 out of 5,(1),Supermarché
Candia Lait 1/2 Ecrémé Edge 200 ML,90 FCFA,https://www.jumia.sn/candia-lait-12-ecreme-edge-200-ml-10039383.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/393001/1.jpg?4197,True,,,,,Supermarché
Savonet Gel Lavant Liquide - Citron - 350ML,390 FCFA,https://www.jumia.sn/savonet-gel-lavant-liquide-citron-350ml-10030514.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/503001/1.jpg?4802,True,,,,,Supermarché
Sauce Verte Nokoss - 370G,990 FCFA,https://www.jumia.sn/reine-sauce-verte-nokoss-370g-10030333.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/303001/1.jpg?9937,True,1 120 FCFA,12%,,,Supermarché
La Perruche Sucre Roux Morceaux 1Kg,1 890 FCFA,https://www.jumia.sn/la-perruche-sucre-roux-morceaux-1kg-10030524.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/503001/1.jpg?5599,True,2 120 FCFA,11%,,,Supermarché
Anita Epice Viande 50g - Anita,490 FCFA,https://www.jumia.sn/anita-epice-viande-50g-anita-10030287.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/203001/1.jpg?4796,True,,,,,Supermarché
Anita 7epices 50g - Anita,550 FCFA,https://www.jumia.sn/anita-7epices-50g-anita-10030285.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/203001/1.jpg?4748,True,,,,,Supermarché
Anita Epices Grillades 50G - Anita,490 FCFA,https://www.jumia.sn/anita-epices-grillades-50g-anita-10030288.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/203001/1.jpg?4783,True,,,,,Supermarché
Anita Epice Poulet 50g - Anita,490 FCFA,https://www.jumia.sn/anita-epice-poulet-50g-anita-10030286.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/203001/1.jpg?4760,True,,,,,Supermarché
Anita Gingembre 50g - Anita,450 FCFA,https://www.jumia.sn/anita-gingembre-50g-anita-10030289.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/203001/1.jpg?4809,True,,,,,Supermarché
MOURAFA Bouye En Poudre – 400G,2 140 FCFA,https://www.jumia.sn/mourafa-bouye-en-poudre-400g-10030330.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/303001/1.jpg?8426,True,,,,,Supermarché
Welsea Thon à L'huile De Tournesol Poche 74g,525 FCFA,https://www.jumia.sn/welsea-thon-a-lhuile-de-tournesol-poche-74g-10030505.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/503001/1.jpg?3748,True,,,,,Supermarché
Welsea Thon Miettes à L'huile de Tournesol 160g,925 FCFA,https://www.jumia.sn/welsea-thon-miettes-a-lhuile-de-tournesol-160g-10030510.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/503001/1.jpg?4081,True,1 100 FCFA,16%,,,Supermarché
The Yellow 30 Sachets,1 290 FCFA,https://www.jumia.sn/lipton-the-yellow-30-sachets-10030516.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/503001/1.jpg?4858,True,,,,,Supermarché
Barilla Pâte - Pipe Rigatte - 500G,975 FCFA,https://www.jumia.sn/barilla-pate-pipe-rigatte-500g-10030337.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/303001/1.jpg?0646,True,1 010 FCFA,3%,,,Supermarché
PINTON Pâtée Sardinelle - 380g - Pinton,900 FCFA,https://www.jumia.sn/pinton-patee-sardinelle-380g-pinton-9800798.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/70089/1.jpg?1453,True,920 FCFA,2%,,,Supermarché
Lalia Lait En Poudre - 500G,990 FCFA,https://www.jumia.sn/lalia-lait-en-poudre-500g-8844859.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/84488/1.jpg?5527,True,1 345 FCFA,26%,3.9 out of 5,(39),Supermarché
Casamançaise Eau Minérale - 10 Litres,790 FCFA,https://www.jumia.sn/casamancaise-eau-minerale-10-litres-9276404.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/46729/1.jpg?3056,True,800 FCFA,1%,4.6 out of 5,(111),Supermarché
Eau Minérale - 10 Litres,825 FCFA,https://www.jumia.sn/kirene-eau-minerale-10-litres-9354845.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/84539/1.jpg?4301,True,875 FCFA,6%,4.5 out of 5,(110),Supermarché
Mirinda Pack de Mirinda Fruity 33 CL - 1 Acheté 1 offert,2 500 FCFA,https://www.jumia.sn/mirinda-pack-de-mirinda-fruity-33-cl-1-achete-1-offert-10018645.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/681001/1.jpg?5990,True,,,,,Supermarché
Oreo Biscuits Mini Chocolat,80 FCFA,https://www.jumia.sn/oreo-biscuits-mini-chocolat-9774304.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/34779/1.jpg?1334,True,,,4.1 out of 5,(31),Supermarché
Dano Lait en Poudre Quotidien 400G,1 200 FCFA,https://www.jumia.sn/dano-lait-en-poudre-quotidien-400g-9346157.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/16439/1.jpg?4665,True,1 250 FCFA,4%,3.7 out of 5,(39),Supermarché
J'Adore Huile de Tournesol - 5L,7 760 FCFA,https://www.jumia.sn/jadore-huile-de-tournesol-5l-9960713.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/70699/1.jpg?7034,True,,,3.8 out of 5,(10),Supermarché
Mini Jus Cocktail Briquette 200 ML,180 FCFA,https://www.jumia.sn/pressea-mini-jus-cocktail-briquette-200-ml-9852753.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/72589/1.jpg?3892,True,,,4 out of 5,(4),Supermarché
Lalia 10 sachets de Lait en poudre - 20g,630 FCFA,https://www.jumia.sn/lalia-10-sachets-de-lait-en-poudre-20g-8848020.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/08488/1.jpg?2326,True,640 FCFA,2%,4 out of 5,(36),Supermarché
Madar Nettoyant Multi-Usage - Citron - 900ML,750 FCFA,https://www.jumia.sn/nettoyant-multi-usage-citron-900ml-madar-mpg30735.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/22788/1.jpg?7339,True,790 FCFA,5%,4.5 out of 5,(27),Supermarché
Mini Jus Ananas Briquette 200 ML,180 FCFA,https://www.jumia.sn/pressea-mini-jus-ananas-briquette-200-ml-9852754.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/72589/1.jpg?3898,True,,,4.4 out of 5,(7),Supermarché
Mirinda Pack de Mirinda Orange 33 CL - 1 Acheté 1 offert,2 500 FCFA,https://www.jumia.sn/mirinda-pack-de-mirinda-orange-33-cl-1-achete-1-offert-10018643.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/681001/1.jpg?2345,True,,,,,Supermarché
